Polish Title,Original Title,Rating,Votes,Genre
Skazani na Shawshank,The Shawshank Redemption1994,8.76,912751,typDramat
Nietykalni,Intouchables2011,8.61,671565,typBiograficzny/Dramat/Komedia
Zielona mila,The Green Mile1999,8.6,993012,typDramat
Ojciec chrzestny,The Godfather1972,8.59,541687,typDramat/Gangsterski
Dwunastu gniewnych ludzi,12 Angry Men1957,8.56,224640,typDramat sądowy
Forrest Gump,1994,8.52,986016,typDramat/Komedia
Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest1975,8.43,398822,typDramat/Psychologiczny
Ojciec chrzestny II,The Godfather: Part II1974,8.38,280525,typDramat/Gangsterski
Władca Pierścieni: Powrót króla,The Lord of the Rings: The Return of the King2003,8.34,522364,typFantasy/Przygodowy
Lista Schindlera,Schindler's List1993,8.33,365894,typDramat/Wojenny
Pulp Fiction,1994,8.31,665789,typGangsterski
Życie jest piękne,La vita è bella1997,8.29,282585,typDramat/Komedia/Wojenny
Siedem,Se7en1995,8.27,608964,typKryminał/Thriller
Władca Pierścieni: Dwie wieże,The Lord of the Rings: The Two Towers2002,8.27,503358,typFantasy/Przygodowy
Podziemny krąg,Fight Club1999,8.25,619892,typThriller/Psychologiczny
Chłopcy z ferajny,Goodfellas1990,8.24,309441,typDramat/Gangsterski
Pianista,The Pianist2002,8.23,598119,typBiograficzny/Dramat/Wojenny
Joker,2019,8.23,308176,typDramat/Kryminał/Psychologiczny
Piękny umysł,A Beautiful Mind2001,8.22,501565,typBiograficzny/Dramat
Django,Django Unchained2012,8.21,491697,typWestern
Incepcja,Inception2010,8.21,613644,typSurrealistyczny/Thriller/Sci-Fi
Milczenie owiec,The Silence of the Lambs1991,8.21,676390,typThriller
Król Lew,The Lion King1994,8.21,570094,typAnimacja/Familijny
Człowiek z blizną,Scarface1983,8.17,265506,typDramat/Gangsterski
Gran Torino,2008,8.17,434845,typDramat
Coco,2017,8.15,162885,typAnimacja/Familijny/Przygodowy
Wyspa tajemnic,Shutter Island2010,8.15,580885,typDramat/Thriller
Leon zawodowiec,Léon1994,8.12,834592,typDramat/Kryminał
Więzień nienawiści,American History X1998,8.12,303183,typDramat
Green Book,2018,8.11,218165,typDramat/Komedia
Gladiator,2000,8.09,765263,typDramat historyczny
Szeregowiec Ryan,Saving Private Ryan1998,8.07,647928,typDramat/Wojenny
Braveheart - Waleczne Serce,Braveheart1995,8.06,399379,typDramat historyczny
Whiplash,2014,8.06,302358,typDramat/Muzyczny
Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas2008,8.06,405099,typDramat/Wojenny
Buntownik z wyboru,Good Will Hunting1997,8.06,288568,typDramat obyczajowy
Przełęcz ocalonych,Hacksaw Ridge2016,8.05,228740,typBiograficzny/Dramat/Wojenny
Czas Apokalipsy,Apocalypse Now1979,8.04,183433,typDramat/Wojenny
Zapach kobiety,Scent of a Woman1992,8.04,361331,typDramat
Prestiż,The Prestige2006,8.03,394438,typDramat/Thriller
Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back1980,8.03,301916,typPrzygodowy/Sci-Fi
Avengers: Wojna bez granic,Avengers: Infinity War2018,8.02,198328,typAkcja/Sci-Fi
"Dobry, zły i brzydki","Il buono, il brutto, il cattivo.1966",8.02,104946,typWestern
Gwiezdne wojny: Część VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi1983,8.01,294393,typPrzygodowy/Sci-Fi
Dawno temu w Ameryce,Once Upon a Time in America1984,8.0,112227,typDramat/Gangsterski
Służące,The Help2011,8.0,278315,typDramat
